"";"Title";"Date";"all_countries";"RC.Title";"RC.ID";"Ongoing.Past.x";"Initiative.x";"Intervention";"Type.of.emergency.x";"Type.of.displacement.x";"Type.of.displacement.setting";"Mandating.body.agency.x";"REACH.Pillar";"Type.of.information.product";"REACH.Tools";"IASC.Sector";"IASC.Cross.Cutting.Issue";"Donor";"Path";"Year";"Month";"RC.Age";"Country";"country_1";"Research.Cycle.ID";"Research.Cycle.Title";"Project.Code";"Pillar";"Sub.Pillar";"Initiative.y";"Type.of.displacement.y";"Type.of.emergency.y";"Mandating.body.agency.y";"Ongoing.Past.y";"RC.Number";"Country.Code"
"46";"TCD_Map_Ile de retour_Infrastructures_Mars2018_A3";"2018-04";"Chad";NA;NA;NA;NA;"Lake Chad Displacement Crisis";"Conflict";"internal displacement";"";"Other";"Displacement";"Map";"";"Multisector";"";"USAID-OFDA";"http://www.reachresourcecentre.info/chad/tcdmapile-de-retourinfrastructuresmars2018a3";2018;4;"new";"Chad";"";"TCD1801";"Evaluation des dynamiques de d��placement et des besoins essentiels des populations revenues dans la cuvette Sud d";"22iAEE";"People on the move: Movements and Intentions";"CAMP and Host + Movements and intentions";"REACH";"Internal Displacement";"Complex";"CCCM cluster";NA;"1801";"TCD"
"47";"TCD_Map_Ile de retour mouvement des population_mars2018_A3";"2018-04";"Chad";NA;NA;NA;NA;"Lake Chad Displacement Crisis";"Conflict";"internal displacement";"informal settlement";"Other";"Displacement";"Map";"";"Camp coordination and camp management";"";"USAID-OFDA";"http://www.reachresourcecentre.info/chad/tcdmapile-de-retour-mouvement-des-populationmars2018a3";2018;4;"new";"Chad";"";"TCD1801";"Evaluation des dynamiques de d��placement et des besoins essentiels des populations revenues dans la cuvette Sud d";"22iAEE";"People on the move: Movements and Intentions";"CAMP and Host + Movements and intentions";"REACH";"Internal Displacement";"Complex";"CCCM cluster";NA;"1801";"TCD"
"48";"TCD_Pr√©sentation R√©sultats_Iles de retour_Avr";"2018-04";"Chad";NA;NA;NA;NA;"Lake Chad Displacement Crisis";"Conflict";"internal displacement";"";"Other";"Displacement";"Presentation";"";"Multisector";"";"USAID-OFDA";"http://www.reachresourcecentre.info/chad/tcdpr-sentation-r-sultatsiles-de-retouravril2018";2018;4;"new";"Chad";"";"TCD1801";"Evaluation des dynamiques de d��placement et des besoins essentiels des populations revenues dans la cuvette Sud d";"22iAEE";"People on the move: Movements and Intentions";"CAMP and Host + Movements and intentions";"REACH";"Internal Displacement";"Complex";"CCCM cluster";NA;"1801";"TCD"
"49";"TCD_Presentation_Iles de retour_Avril 2018";"2018-04";"Chad";NA;NA;NA;NA;"Lake Chad Displacement Crisis";"Conflict";"cross-border displacement";"host community, informal settlement";"Other";"Displacement";"Presentation";"";"Multisector";"";"USAID-OFDA";"http://www.reachresourcecentre.info/chad/tcdpresentationiles-de-retouravril-2018";2018;4;"new";"Chad";"";"TCD1801";"Evaluation des dynamiques de d��placement et des besoins essentiels des populations revenues dans la cuvette Sud d";"22iAEE";"People on the move: Movements and Intentions";"CAMP and Host + Movements and intentions";"REACH";"Internal Displacement";"Complex";"CCCM cluster";NA;"1801";"TCD"
"50";"TCD_Rapport_Iles de Retour_Avril 2018";"2018-05";"Chad";NA;NA;NA;NA;"Lake Chad Displacement Crisis";"Conflict";"internal displacement";"";"Other";"Displacement";"Report";"";"Multisector";"";"USAID-OFDA";"http://www.reachresourcecentre.info/chad/tcdrapportiles-de-retouravril-2018";2018;5;"new";"Chad";"";"TCD1801";"Evaluation des dynamiques de d��placement et des besoins essentiels des populations revenues dans la cuvette Sud d";"22iAEE";"People on the move: Movements and Intentions";"CAMP and Host + Movements and intentions";"REACH";"Internal Displacement";"Complex";"CCCM cluster";NA;"1801";"TCD"
"51";"TCD_Map_Moundou-Gore_ref_Juin2018_A0";"2018-07";"Chad";NA;NA;NA;NA;"CAR Displacement Crisis 2014";"Conflict";"cross-border displacement";"";"REACH";"Displacement";"Map";"";"Multisector";"";"ECHO";"http://www.reachresourcecentre.info/chad/tcdmapmoundou-gorerefjuin2018a0";2018;7;"new";"Chad";"";"TCD1802";"Evaluation multisectorielle dans les r��gions d";"22iAGO";"People on the move: Movements and Intentions";"CAMP / Host";"REACH";"Refugees";"Conflict";"REACH";NA;"1802";"TCD"
"52";"TCD_Map_Logone_ref_Juin2018_A0";"2018-07";"Chad";NA;NA;NA;NA;"CAR Displacement Crisis 2014";"Conflict";"cross-border displacement";"";"REACH";"Displacement";"Map";"";"Multisector";"";"ECHO";"http://www.reachresourcecentre.info/chad/tcdmaplogonerefjuin2018a0";2018;7;"new";"Chad";"";"TCD1802";"Evaluation multisectorielle dans les r��gions d";"22iAGO";"People on the move: Movements and Intentions";"CAMP / Host";"REACH";"Refugees";"Conflict";"REACH";NA;"1802";"TCD"
"53";"TCD_BDD_Sud_Logone Oriental_Juillet 2018";"2018-07";"Chad";NA;NA;NA;NA;"CAR Displacement Crisis 2014";"Conflict";"cross-border displacement";"camp, host community, informal settlement";"Other";"Displacement";"Dataset/database";"";"Multisector";"";"ECHO";"http://www.reachresourcecentre.info/chad/tcdbddsudlogone-orientaljuillet-2018";2018;7;"new";"Chad";"";"TCD1802";"Evaluation multisectorielle dans les r��gions d";"22iAGO";"People on the move: Movements and Intentions";"CAMP / Host";"REACH";"Refugees";"Conflict";"REACH";NA;"1802";"TCD"
"54";"TOR: MERF Rapid situation briefs";"2018-08";"Chad, Libya, Niger";NA;NA;NA;NA;"Europe Refugee Crisis 2015";"Complex Emergency";"internal displacement";"host community, informal settlement";"Other";"Displacement";"Terms of Reference";"";"Multisector";"";"Other";"http://www.reachresourcecentre.info/chad-libya-niger/tor-merf-rapid-situation-briefs";2018;8;"new";"Chad";" Libya, Niger";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"55";"TOR: MERF Rapid situation briefs";"2018-08";"Chad, Libya, Niger";NA;NA;NA;NA;"Europe Refugee Crisis 2015";"Complex Emergency";"internal displacement";"host community, informal settlement";"Other";"Displacement";"Terms of Reference";"";"Multisector";"";"Other";"http://www.reachresourcecentre.info/chad-libya-niger/tor-merf-rapid-situation-briefs";2018;8;"new";"Chad";" Libya, Niger";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"56";"TOR: MERF Rapid situation briefs";"2018-08";"Chad, Libya, Niger";NA;NA;NA;NA;"Europe Refugee Crisis 2015";"Complex Emergency";"internal displacement";"host community, informal settlement";"Other";"Displacement";"Terms of Reference";"";"Multisector";"";"Other";"http://www.reachresourcecentre.info/chad-libya-niger/tor-merf-rapid-situation-briefs";2018;8;"new";"Chad";" Libya, Niger";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"57";"TOR: MERF Rapid situation briefs";"2018-08";"Chad, Libya, Niger";NA;NA;NA;NA;"Europe Refugee Crisis 2015";"Complex Emergency";"internal displacement";"host community, informal settlement";"Other";"Displacement";"Terms of Reference";"";"Multisector";"";"Other";"http://www.reachresourcecentre.info/chad-libya-niger/tor-merf-rapid-situation-briefs-0";2018;8;"new";"Chad";" Libya, Niger";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"58";"TOR: MERF Rapid situation briefs";"2018-08";"Chad, Libya, Niger";NA;NA;NA;NA;"Europe Refugee Crisis 2015";"Complex Emergency";"internal displacement";"host community, informal settlement";"Other";"Displacement";"Terms of Reference";"";"Multisector";"";"Other";"http://www.reachresourcecentre.info/chad-libya-niger/tor-merf-rapid-situation-briefs-0";2018;8;"new";"Chad";" Libya, Niger";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"59";"TOR: MERF Rapid situation briefs";"2018-08";"Chad, Libya, Niger";NA;NA;NA;NA;"Europe Refugee Crisis 2015";"Complex Emergency";"internal displacement";"host community, informal settlement";"Other";"Displacement";"Terms of Reference";"";"Multisector";"";"Other";"http://www.reachresourcecentre.info/chad-libya-niger/tor-merf-rapid-situation-briefs-0";2018;8;"new";"Chad";" Libya, Niger";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"60";"TCD_Factsheet_Evaluation Multisectorielle dans le Sud du Tchad, R√©gion du Logone Oriental_Juillet 2";"2018-08";"Chad";NA;NA;NA;NA;"CAR Displacement Crisis 2014";"Conflict";"cross-border displacement";"camp, host community, informal settlement";"Other";"Displacement";"Factsheet";"";"Multisector";"";"ECHO";"http://www.reachresourcecentre.info/chad/tcdfactsheetevaluation-multisectorielle-dans-le-sud-du-tchad-r-gion-du-logone-orientaljuillet";2018;8;"new";"Chad";"";"TCD1802";"Evaluation multisectorielle dans les r��gions d";"22iAGO";"People on the move: Movements and Intentions";"CAMP / Host";"REACH";"Refugees";"Conflict";"REACH";NA;"1802";"TCD"
"61";"TCD_Factsheet_Evaluation multisectorielle dans le Sud du Tchad, R√©gion du Mandoul_Juillet 2";"2018-08";"Chad";NA;NA;NA;NA;"CAR Displacement Crisis 2014";"Conflict";"cross-border displacement";"camp, host community, informal settlement";"Other";"Displacement";"Factsheet";"";"Multisector";"";"ECHO";"http://www.reachresourcecentre.info/chad/tcdfactsheetevaluation-multisectorielle-dans-le-sud-du-tchad-r-gion-du-mandouljuillet-2018";2018;8;"new";"Chad";"";"TCD1802";"Evaluation multisectorielle dans les r��gions d";"22iAGO";"People on the move: Movements and Intentions";"CAMP / Host";"REACH";"Refugees";"Conflict";"REACH";NA;"1802";"TCD"
"62";"TCD_Presentation_Crise de d√©placement de le R√©publique Centrafricaine - Evaluation mutlisectorielle_Juille";"2018-08";"Chad";NA;NA;NA;NA;"CAR Displacement Crisis 2014";"Conflict";"cross-border displacement";"camp, host community, informal settlement";"Other";"Displacement";"Presentation";"";"Multisector";"";"ECHO";"http://www.reachresourcecentre.info/chad/tcdpresentationcrise-de-d-placement-de-le-r-publique-centrafricaine-evaluation";2018;8;"new";"Chad";"";"TCD1802";"Evaluation multisectorielle dans les r��gions d";"22iAGO";"People on the move: Movements and Intentions";"CAMP / Host";"REACH";"Refugees";"Conflict";"REACH";NA;"1802";"TCD"
"63";"TCD_Rapport_Deplacement RCA_Sud_Juillet 2018";"2018-08";"Chad";NA;NA;NA;NA;"CAR Displacement Crisis 2014";"Conflict";"cross-border displacement";"camp, host community, informal settlement";"Other";"Displacement";"Report";"";"Multisector";"";"ECHO";"http://www.reachresourcecentre.info/chad/tcdrapportdeplacement-rcasudjuillet-2018";2018;8;"new";"Chad";"";"TCD1802";"Evaluation multisectorielle dans les r��gions d";"22iAGO";"People on the move: Movements and Intentions";"CAMP / Host";"REACH";"Refugees";"Conflict";"REACH";NA;"1802";"TCD"
"64";"TCD_Map_Carte-de-reference_Logone_07sept2018";"2018-09";"Chad";NA;NA;NA;NA;"CAR Displacement Crisis 2014";"Conflict";"cross-border displacement";"camp, host community, informal settlement";"REACH";"Displacement";"Map";"";"Multisector";"";"ECHO";"http://www.reachresourcecentre.info/chad/tcdmapcarte-de-referencelogone07sept2018";2018;9;"new";"Chad";"";"TCD1802";"Evaluation multisectorielle dans les r��gions d";"22iAGO";"People on the move: Movements and Intentions";"CAMP / Host";"REACH";"Refugees";"Conflict";"REACH";NA;"1802";"TCD"
"65";"TCD_Map_Carte-de-reference_Mandoul_07sept2018";"2018-09";"Chad";NA;NA;NA;NA;"CAR Displacement Crisis 2014";"Conflict";"cross-border displacement";"camp, host community, informal settlement";"REACH";"Displacement";"Map";"";"Multisector";"";"ECHO";"http://www.reachresourcecentre.info/chad/tcdmapcarte-de-referencemandoul07sept2018";2018;9;"new";"Chad";"";"TCD1802";"Evaluation multisectorielle dans les r��gions d";"22iAGO";"People on the move: Movements and Intentions";"CAMP / Host";"REACH";"Refugees";"Conflict";"REACH";NA;"1802";"TCD"
"66";"TCD_Map_Carte-de-reference_Mandoul-et-Moyen-Chari_07sept2018";"2018-09";"Chad";NA;NA;NA;NA;"CAR Displacement Crisis 2014";"Conflict";"cross-border displacement";"camp, host community, informal settlement";"REACH";"Displacement";"Map";"";"Multisector";"";"ECHO";"http://www.reachresourcecentre.info/chad/tcdmapcarte-de-referencemandoul-et-moyen-chari07sept2018";2018;9;"new";"Chad";"";"TCD1802";"Evaluation multisectorielle dans les r��gions d";"22iAGO";"People on the move: Movements and Intentions";"CAMP / Host";"REACH";"Refugees";"Conflict";"REACH";NA;"1802";"TCD"
"67";"TCD_Map_Carte-de-reference_Tchad_07sept2018";"2018-09";"Chad";NA;NA;NA;NA;"CAR Displacement Crisis 2014";"Conflict";"cross-border displacement";"camp, host community, informal settlement";"REACH";"Displacement";"Map";"";"Multisector";"";"ECHO";"http://www.reachresourcecentre.info/chad/tcdmapcarte-de-referencetchad07sept2018";2018;9;"new";"Chad";"";"TCD1802";"Evaluation multisectorielle dans les r��gions d";"22iAGO";"People on the move: Movements and Intentions";"CAMP / Host";"REACH";"Refugees";"Conflict";"REACH";NA;"1802";"TCD"
"68";"TCD_Map_Carte-de-reference_Lac_07sept2018";"2018-09";"Chad";NA;NA;NA;NA;"Lake Chad Displacement Crisis";"Conflict";"cross-border displacement";"host community, informal settlement";"REACH";"Displacement";"Map";"";"Multisector";"";"REACH";"http://www.reachresourcecentre.info/chad/tcdmapcarte-de-referencelac07sept2018";2018;9;"new";"Chad";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"69";"TCD_Map_Sud-assist-humanitaire_juillet2018";"2018-09";"Chad";NA;NA;NA;NA;"CAR Displacement Crisis 2014";"Conflict";"cross-border displacement";"camp, host community, informal settlement";"REACH";"Displacement";"Map";"";"Multisector";"";"ECHO";"http://www.reachresourcecentre.info/chad/tcdmapsud-assist-humanitairejuillet2018";2018;9;"new";"Chad";"";"TCD1802";"Evaluation multisectorielle dans les r��gions d";"22iAGO";"People on the move: Movements and Intentions";"CAMP / Host";"REACH";"Refugees";"Conflict";"REACH";NA;"1802";"TCD"
"70";"TCD_Map_Sud-distrib-nourriture_juillet2018";"2018-09";"Chad";NA;NA;NA;NA;"CAR Displacement Crisis 2014";"Conflict";"cross-border displacement";"camp, host community, informal settlement";"REACH";"Displacement";"Map";"";"Multisector";"";"ECHO";"http://www.reachresourcecentre.info/chad/tcdmapsud-distrib-nourriturejuillet2018";2018;9;"new";"Chad";"";"TCD1802";"Evaluation multisectorielle dans les r��gions d";"22iAGO";"People on the move: Movements and Intentions";"CAMP / Host";"REACH";"Refugees";"Conflict";"REACH";NA;"1802";"TCD"
"71";"TCD_Map_Sud-incident-secu_juillet2018";"2018-09";"Chad";NA;NA;NA;NA;"CAR Displacement Crisis 2014";"Conflict";"cross-border displacement";"camp, host community, informal settlement";"REACH";"Displacement";"Map";"";"Multisector";"";"ECHO";"http://www.reachresourcecentre.info/chad/tcdmapsud-incident-secujuillet2018";2018;9;"new";"Chad";"";"TCD1802";"Evaluation multisectorielle dans les r��gions d";"22iAGO";"People on the move: Movements and Intentions";"CAMP / Host";"REACH";"Refugees";"Conflict";"REACH";NA;"1802";"TCD"
"72";"TCD_Map_Sud-pop-deplaces-heatmap_juillet2018";"2018-09";"Chad";NA;NA;NA;NA;"CAR Displacement Crisis 2014";"Conflict";"cross-border displacement";"camp, host community, informal settlement";"REACH";"Displacement";"Map";"";"Multisector";"";"ECHO";"http://www.reachresourcecentre.info/chad/tcdmapsud-pop-deplaces-heatmapjuillet2018";2018;9;"new";"Chad";"";"TCD1802";"Evaluation multisectorielle dans les r��gions d";"22iAGO";"People on the move: Movements and Intentions";"CAMP / Host";"REACH";"Refugees";"Conflict";"REACH";NA;"1802";"TCD"
"73";"TCD_Map_Carte-de-reference_Batha_07sept2018";"2018-09";"Chad";NA;NA;NA;NA;"Other";"Conflict";"cross-border displacement";"camp, host community, informal settlement";"REACH";"Displacement";"Map";"";"Multisector";"";"REACH";"http://www.reachresourcecentre.info/chad/tcdmapcarte-de-referencebatha07sept2018";2018;9;"new";"Chad";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"74";"TCD_Map_Carte-de-reference_Ouaddai-et-Sila_07sept2018";"2018-09";"Chad";NA;NA;NA;NA;"Other";"Conflict";"cross-border displacement";"camp, host community, informal settlement";"REACH";"Displacement";"Map";"";"Multisector";"";"REACH";"http://www.reachresourcecentre.info/chad/tcdmapcarte-de-referenceouaddai-et-sila07sept2018";2018;9;"new";"Chad";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
